L/2ro,S/2ro,aA
10,0,1
10,0.116939993,0.951174059
10,0.239191204,0.922430116
10,0.326639955,0.898007206
10,0.457696608,0.864957138
10,0.597372344,0.833335818
10,0.754193067,0.807439433
10,0.885109952,0.778690521
10,1.024785688,0.747069201
10,1.164228476,0.722616474
10,1.338380544,0.69671015
10,1.443207231,0.670843583
10,1.582556839,0.649258293
10,1.721953038,0.626239284
10,1.922102124,0.600318052
10,2.105059635,0.570105603
10,2.305208722,0.544184371
10,2.453130824,0.525461548
10,2.6533265,0.498106597
10,2.774925457,0.489434712
10,2.948984346,0.466395826
10,3.157566157,0.447638216
10,3.383525904,0.427436949
10,3.722092807,0.408604796
10,4.225773388,0.375341036
10,4.616427507,0.353611629
10,4.998369363,0.333320909
10,5.406261647,0.314449
10,5.718691763,0.299932911
10,6.031308237,0.279681948
10,6.387159896,0.262273574
10,6.656215058,0.249216052
10,7.064200522,0.227476705
10,7.333395453,0.210118027
10,7.715523668,0.184092434
10,8.184448379,0.15371599
10,8.575149087,0.130552864
10,8.940039135,0.101669773
10,9.278885576,0.074235309
10,9.504798733,0.05546776
10,9.747996646,0.038123991
10,10,0
,,
,,
25,0,1
25,0.116380917,0.968378681
25,0.334234066,0.930977761
25,0.447959374,0.897937632
25,0.718179277,0.849037147
25,0.970834886,0.807315194
25,1.258106597,0.767007082
25,1.51938129,0.726713878
25,1.83251025,0.690692011
25,2.119549012,0.657552491
25,2.310985837,0.633069947
25,2.667443161,0.597023233
25,3.058283638,0.569558951
25,3.345089452,0.543588023
25,3.753494223,0.508945211
25,4.118058144,0.490098149
25,4.673686172,0.45823829
25,5.185706299,0.435005591
25,5.71519754,0.407461796
25,6.027627656,0.392945708
25,6.513743943,0.36686048
25,6.852217667,0.350895763
25,7.164740962,0.333512238
25,7.468831532,0.308965089
25,7.833581811,0.284383153
25,8.137718971,0.258402286
25,8.355013045,0.238205988
25,8.659336564,0.206490247
25,8.963846441,0.169039632
25,9.216129333,0.138787427
25,9.442415207,0.10855013
25,9.686265375,0.071134302
25,9.851891539,0.040931793
25,10,0
,,
,,
100,0,1
100,0.177226985,0.96260902
100,0.359998136,0.938131445
100,0.569045844,0.905036651
100,0.777953783,0.876243012
100,0.986721953,0.851750528
100,1.317182259,0.815718723
100,1.551994037,0.789777612
100,1.795378308,0.766698969
100,2.082090943,0.743595478
100,2.481690272,0.71325879
100,2.759737234,0.690160268
100,3.141818859,0.665568394
100,3.515001864,0.648150081
100,3.775484532,0.632230091
100,4.105245993,0.617704063
100,4.530609392,0.594521059
100,5.016399553,0.57847186
100,5.450335445,0.558151323
100,5.95364331,0.536357311
100,6.265840477,0.529009815
100,6.647735744,0.510152814
100,7.142564294,0.482628898
100,7.585212449,0.460869673
100,7.828410362,0.443525904
100,8.193347,0.413209094
100,8.419213567,0.395875264
100,8.784709281,0.348353833
100,8.976146105,0.323871288
100,9.167955647,0.287918996
100,9.412178531,0.23903342
100,9.586982855,0.193055038
100,9.762113306,0.137040626
100,9.885016772,0.088224624
100,9.955506895,0.052341906
100,10,0
